dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,house_24,normal_24_strokes,24,24,3,0.125,12.5,3,0.0625,30.0,100,SDXL_normal/house_24/normal_24_strokes/final_svg.svg
SDXL_normal,house_24,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/house_24/normal_32_strokes/final_svg.svg
SDXL_normal,house_27,normal_16_strokes,16,16,9,0.5625,56.25,10,0.3125,30.0,100,SDXL_normal/house_27/normal_16_strokes/final_svg.svg
SDXL_normal,house_27,normal_24_strokes,24,24,8,0.3333333333333333,33.33333333333333,9,0.1875,30.0,100,SDXL_normal/house_27/normal_24_strokes/final_svg.svg
SDXL_normal,house_27,normal_32_strokes,32,32,10,0.3125,31.25,10,0.15625,30.0,100,SDXL_normal/house_27/normal_32_strokes/final_svg.svg
SDXL_normal,house_7,normal_16_strokes,16,16,12,0.75,75.0,18,0.5625,30.0,100,SDXL_normal/house_7/normal_16_strokes/final_svg.svg
SDXL_normal,house_7,normal_24_strokes,24,24,9,0.375,37.5,10,0.20833333333333334,30.0,100,SDXL_normal/house_7/normal_24_strokes/final_svg.svg
SDXL_normal,house_7,normal_32_strokes,32,32,5,0.15625,15.625,6,0.09375,30.0,100,SDXL_normal/house_7/normal_32_strokes/final_svg.svg
SDXL_normal,rabbit_0,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/rabbit_0/normal_16_strokes/final_svg.svg
SDXL_normal,rabbit_0,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/rabbit_0/normal_24_strokes/final_svg.svg
SDXL_normal,rabbit_0,normal_32_strokes,32,32,4,0.125,12.5,6,0.09375,30.0,100,SDXL_normal/rabbit_0/normal_32_strokes/final_svg.svg
SDXL_normal,rabbit_1,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/rabbit_1/normal_16_strokes/final_svg.svg
SDXL_normal,rabbit_1,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,6,0.125,30.0,100,SDXL_normal/rabbit_1/normal_24_strokes/final_svg.svg
SDXL_normal,rabbit_1,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/rabbit_1/normal_32_strokes/final_svg.svg
SDXL_normal,rabbit_2,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/rabbit_2/normal_16_strokes/final_svg.svg
SDXL_normal,rabbit_2,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/rabbit_2/normal_24_strokes/final_svg.svg
SDXL_normal,rabbit_2,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/rabbit_2/normal_32_strokes/final_svg.svg
SDXL_normal,rabbit_4,normal_16_strokes,16,16,2,0.125,12.5,2,0.0625,30.0,100,SDXL_normal/rabbit_4/normal_16_strokes/final_svg.svg
SDXL_normal,rabbit_4,normal_24_strokes,24,24,4,0.16666666666666666,16.666666666666664,4,0.08333333333333333,30.0,100,SDXL_normal/rabbit_4/normal_24_strokes/final_svg.svg
SDXL_normal,rabbit_4,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/rabbit_4/normal_32_strokes/final_svg.svg
SDXL_normal,rabbit_5,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/rabbit_5/normal_16_strokes/final_svg.svg
SDXL_normal,rabbit_5,normal_24_strokes,24,24,3,0.125,12.5,6,0.125,30.0,100,SDXL_normal/rabbit_5/normal_24_strokes/final_svg.svg
SDXL_normal,rabbit_5,normal_32_strokes,32,32,4,0.125,12.5,6,0.09375,30.0,100,SDXL_normal/rabbit_5/normal_32_strokes/final_svg.svg
SDXL_normal,teapot_0,normal_16_strokes,16,16,9,0.5625,56.25,14,0.4375,30.0,100,SDXL_normal/teapot_0/normal_16_strokes/final_svg.svg
